πούτρωγαν;1
γκρίνιες;1
προθυμία;1
ποτάμου;4
λυκιωτώνε;2
μαννάρι;1
παληκαρά;1
οχτρώνε;6
πολυλά;1
σούστειλε;2
απαντούσε;1
περνούσαν;1
σούστειλα;1
φάνηκε;11
καταπιάνεται;1
φιλονεικία;1
βοηθητικούς;1
πυθό;1
αφρίζει;1
αργυροκάμωτο;1
νικήτρα;1
θεοπαίδι;4
φρόντισαν;1
ξένος;1
γερονέστορας;3
νέστορας;23
σφάλησε;1
0;1
1;1
2;2
5;24
φαρδοκάμπια;3
ρεζιλεφτώ;1
8;1
9;1
σώσε;2
παλλάδα;18
φανταχτερός;2
κουτσαίνοντας;2
πλήγωσε;4
αδερφούλες;1
φρυγιά;4
σάμο;1
έπεισαν;1
δούνε;5
αρχόντων;3
σπρώχνανε;1
θάστελνα;1
αρφάνια;1
έτρεμε;4
άκοποι;1
σώπα;1
παλαιϊκούς;1
γελαδομάτα;2
φρουρούνε;1
πήδησ;1
a;3
μελανόχυτη;1
i;1
δούμε;19
νου;85
n;1
σκούφο;2
πεισματικά;1
ουρανώνε;1
παράξος;2
στρογγυλωτές;1
πολεμάτε;5
κονταρόπλιστοι;5
παράξου;1
aibeptioya;1
πολεμάμε;3
λαγύνα;2
ζαλίζω;1
κοιτάζουν;1
θεοπαίδια;1
σάλα;2
έσφιξαν;3
πολεμάνε;4
αρμενίζοντας;1
νεκρό;63
βάζεις;1
θνητοθρόφα;1
παράμερα;3
χιόνι;4
καταδιώχτρες;1
σπαθολιανιστούνε;1
πλερωμή;3
πήδαε;3
πλήγωνε;1
τρανόκορμο;1
δύνεσαι;3
ακριβό;1
πεισματωμένη;3
νεκρή;1
φερε;1
νεκρά;2
κρήθο;1
πεισματωμένο;1
ορέγεστε;1
θάμα;7
δέηση;8
τυραγνά;3
αγκάγιο;1
σηκώστε;1
σώμα;6
τίμα;2
βάραε;5
ξεχάσω;1
πλάκωσε;8
κάθεται;12
λιακό;1
πεισματωμένα;1
διχόνια;2
θώραε;1
βούηξαν;1
τόδες;1
τούξερε;1
κονταρόσφαχτο;1
λειτουργός;4
γονατιστοί;1
συφορές;15
μαλώσω;1
οργισμένη;1
στρίψεις;1
αντίλοχος;11
βιαστικός;3
πιότερο;5
φταίω;3
μάχες;16
φέρνει;17
order;2
θαρρείτε;2
ολονών;1
σώκε;1
στοχάσου;1
αρχοντόμορφο;1
μπηγμένες;1
βλάψουνε;1
γυναικολυσσασμένε;1
ξεσπάσει;1
σκοτωθεί;2
λαμπρότερα;1
πούχερε;1
φερα;2
αστραπές;1
κερδίσει;9
ξορκίζοντας;1
φυτιάς;2
αφαλό;3
μισερή;1
ήπατα;4
λιανό;1
έτρωγαν;3
βοϊδοτραγήσα;1
στοιβασμένα;1
ανάθρεφε;1
νιώσουνε;1
μισερό;1
πιότερα;1
δρύα;2
μνημούρι;4
αγριόχοιρος;1
ανάθρεφα;1
βρίσκουνταν;2
βρίσκουνται;8
νιφτούνε;1
μπαμπεσιά;1
thousand;1
τόδαν;1
άχαρα;1
σκεπαστό;2
αμαξολάτη;2
φταίξει;1
δυνατός;35
όμορφής;1
άχαρη;4
ακρινή;1
αρχόντοι;20
άρπαζαν;1
ακρινά;2
τηρώντας;12
δικοί;6
άχαρο;4
ξανοίξω;1
έτρεξε;11
πηδούν;3
φημισμένο;2
μεμιάς;3
περικαλώντας;5
σκεπαστή;1
ανάθρεψε;2
φημισμένα;1
ακρινό;3
τούζεψαν;1
ώριου;1
ανάθρεψα;1
άσπρισε;1
τρανοκόρμα;1
φόρτωναν;1
σώζω;1
άσειστα;1
πήδιο;1
αρχόντου;4
βροντάει;9
ξεφύλλισες;1
στρίβεις;1
πασιθιά;2
μάχης;25
δυνατών;1
άδρωτα;1
λαγγονιού;2
τρωΐλος;1
προσπέσουν;2
φτάσεις;1
ξορκίζοντάς;1
μαρτυρέβανε;1
δρασκέλαε;1
συντυχιά;25
θάβω;1
ξέχναε;1
πούσφαζε;1
βοίνοπα;1
έλαμπε;1
ραχοκέφαλα;1
μισέψουν;1
αλάστρος;1
πούχεις;1
νεκρωμένα;2
πολυμήλα;1
φλουρί;2
ντροπιασμένος;3
ολπίδες;1
πανικός;1
ντροπιασμένοι;1
φεγγαριού;1
ξυπνήσει;2
τροχισμένος;1
άσπριζε;1
μακαριστούς;1
πείνας;1
δεντρωμένος;1
καψοζεί;1
κλαριά;1
δικάζουν;1
γεροκομάει;1
πρωτότοκος;1
άφίνω;1
κυράδες;2
ήξεραν;1
έδεσε;3
αφάνισε;4
κλέψεις;1
ησκιοφόρα;1
μιλά;2
φυσερά;3
γλύφουν;1
φτιάσανε;2
αρήθου;3
φοβάμαι;3
πρόνο;1
κρέατα;4
ζωής;1
πούμενε;2
σωθούν;1
παραστέκεις;1
think;1
ζεστό;3
αφήσουν;1
κεντάτε;1
αρήθος;1
σπάσανε;1
αινό;1
λαγγάδι;1
πισώστησε;1
όμορφες;2
μιλώ;2
βγεις;5
στενάζοντας;7
δώθες;3
γλυκόνε;1
κοκκίνιζε;3
συμπόνεσε;1
πειράχτηκε;1
άκαρδος;2
βιαστικιά;1
τάδωκε;7
γλυτωμό;1
άκαρδοι;1
έτρεχε;33
έδενε;1
βιφιτιού;1
πλάκωσαν;3
νάπαιρνε;1
καπανέα;3
βαριές;6
μυριοπλούσιου;1
απλήγωτοι;1
ανάφρυδο;1
αρχίσουν;3
χαρίσουν;1
βάρτε;5
καθήσει;1
σούστειλαν;1
προσεχτικά;1
ανάφρυδα;3
καταπόδι;7
αχτιδοστάλτη;2
memory;1
προφυλαχτή;3
χοντρές;1
νιδαίος;1
βγαίνανε;1
συνέρια;1
φοβητσάρη;1
σηκώσει;7
λαγκαδιές;1
τάσκιαξε;2
βοϊδοπέτσες;1
χάβνωνε;1
απιθώνει;6
καπνό;2
κρυψώνες;1
ξει;1
αστραπεφτής;2
τσάκισαν;3
τριανταφυλλένια;1
χαλκοβάρεσε;1
τραβήχτη;1
αρπάει;15
θαλασσώσει;1
λέφκας;1
σπλαχνιστείτε;2
αγεράκι;1
γουρλομάτα;1
καπρί;4
έλαμψε;1
κρητικούς;1
ξανασμίγει;3
πετροφτιασμένες;1
γονιούς;12
ακριβά;2
βάρος;5
μιάζοντας;6
ακριβή;2
κουτσοπόδη;1
κακόκραχτο;3
αναγάλλια;1
σπιθόβολο;1
διψούσαν;3
τύχουν;2
συντυχές;1
πονετικό;1
αρμοδεμένα;4
διαπερνώντας;1
πιάνει;23
γυναικώνε;2
όχτρητα;1
πλάκωνε;5
τόκοψε;2
δυστυχιά;2
καρδάρες;1
καταράστη;2
περιορίζουν;2
βιαστικοί;1
καθήστε;2
στρώνουν;1
μονιά;1
ακόντια;1
ποτάμια;6
πέρασμα;2
τριφύλλια;1
φτερούγες;5
θάψε;1
σφάζουνταν;4
δόντια;11
γονατιστός;3
σφάζουνται;6
καταβόθρα;3
θάχω;1
πανιά;3
αμαξοπλίτες;1
ζαχαρένια;1
φουντωμένης;1
φωτίσει;1
ποταπώνε;1
πολύδωρο;3
ζαχαρένιο;1
ζερβοπόρτι;8
αλείση;1
λεφτό;1
καταπονετής;1
δολόπων;1
θάχε;4
όμορφοι;1
θυμήθηκαν;1
παλούκια;10
βαργομάει;1
ταΐζοντάς;1
θάφτουν;1
βαστώντας;11
γιριά;4
ξορκίζουν;1
όμορφου;1
νάκανα;1
τσακίσανε;1
εκιόνε;1
προχωρήσει;2
θερσίλοχο;1
βρεθεί;1
αθώο;2
νίφτηκε;1
αμαξών;1
μιαν;4
στυλιάρι;2
δικών;1
πρόσπαχα;2
ά;3
έ;1
ή;237
μιας;24
πολεμάει;10
λείπανε;1
καστρομαχητή;1
α;22
περικαλέσεις;1
β;1
τηράτε;3
γ;1
αστρόφωτο;2
δ;1
ε;5
αντρώνεται;3
αθώα;2
ζ;1
η;1172
ερύλα;1
θ;58
άνεμο;1
ασπρού;1
ι;2
κ;14
ακάμας;3
λ;1
μ;408
δεινού;1
παίνιες;2
ν;133
ξ;1
ο;2376
π;239
τόθελες;1
ρ;1
ζηλεφτών;1
σ;300
τ;1237
ξυπασιά;1
σφαλνούσαν;1
παρακαλώ;1
υ;1
φ;1
μαρμαρόκοφτα;1
χ;1
ψ;1
ω;33
λοξογνώμας;1
γλιτώσω;1
χεριού;1
πρόθυμα;15
βάρια;2
σώσω;4
ακατόρθωτα;1
ερύμα;1
σπιθόβολα;1
ηνοπιά;1
τούβοσκαν;1
δικός;6
άλιωτο;5
γενούν;2
άλιωτη;2
χώρισαν;6
άλιωτα;1
θάμαστε;1
χορταροστρωμένη;2
καμμιά;2
σβύσουν;1
ασπρισμένες;1
ακρόχαλκο;1
ταραχή;9
μαζέφτηκαν;2
ταχτικό;1
σπούδαζαν;1
πλερώστε;4
γουλιά;1
στρούγγες;1
εφκή;3
βαστάτε;4
μυριοπλούσια;9
αργουλά;1
χαλκώριο;1
εξοχές;1
λυγερή;6
μυριοπλούσιο;1
αστέρι;5
μπιστεμένους;1
σκοτωθώ;2
κουρνιαχτός;6
πεθάνει;5
χύλλου;1
λιοντοδήμο;1
μπορώ;5
ψυχοπιάνει;1
αβληρό;1
λυσσομανάει;1
βλαφτεί;1
μαρμαροκατώφλι;1
θαρρύνοντάς;1
άπηχτο;1
ασηκωθούν;1
πήγες;7
βιφιά;1
θράκες;6
ρεφτάλη;2
σκιαχτεί;1
φράχτης;1
απλόκοιλου;1
ποδήσα;1
φηκάρι;7
πυκνολόγγια;1
did;1
αφάνταση;1
πήγαμε;2
ψαροθρόφα;1
πούκοβαν;1
συφωνίες;1
γιούς;1
θέμη;1
διπλοκέρατη;1
θέμε;2
ψαροθρόφο;1
θέμα;2
χοιμήσουν;1
διπλοκέρατο;2
σένα;18
αχούσαν;2
θέλω;35
έκροσγαν;1
πιαστείτε;1
χτυπητή;1
θαρρύνοντας;1
χορταίνετε;1
πήγανε;4
θράκης;2
κροκοστόλιστη;2
αλαφρύ;2
βήνοπα;1
απελπισμένη;1
κοπιάστε;1
σκορπάν;1
λίγοι;4
απόσπερο;1
βοιωτώνε;1
λακώνισσα;1
κλείδωση;1
αλαφρά;3
κρέμεται;1
φηγιάς;1
πηδώντας;5
παρόμια;3
ζερβόπορτα;2
απλόχωρο;3
ελυμπήσος;4
σκυλί;6
πήγαν;15
ακούστηκε;4
ισόβαρο;1
ντόπιους;1
κατοικούσαν;1
θλιμένη;2
θύμωναν;1
πέθαινε;1
ταχτικά;2
διαμάχης;1
ισόβαρη;1
πεισματωμένοι;1
απάκια;1
μπουν;2
θένε;6
γυμνός;2
μολόγαε;1
κρυφοσφιχτούμε;1
δείπνο;8
σάμος;1
χάσανε;1
θησαβρούς;5
κούτελό;2
θάναι;10
σαρώνει;1
πεθερά;1
πεθερέ;1
νεκραγωγιάτης;4
λυγερές;3
ξέταζες;1
χορτάσατε;1
πούσκισαν;1
δεκαννιά;1
περίθο;1
τρίκλωνο;1
αρχοντονιό;1
ολόασπρο;1
χάσαμε;2
δανείσει;1
στείλεις;2
πιδέξος;3
τριμένοι;1
τούβαλε;5
κάθεσαι;5
μαβρόσγουρο;1
φίλους;14
ξάκουσες;1
συμπονά;1
αγκαλιασμένοι;1
κολοκύθες;1
μισά;4
ξαφνίστη;1
πικραμένοι;2
νυχτός;3
σκότωναν;1
σακάτης;1
όρμησε;10
έφτανε;7
ροβολάν;1
κυνηγούσαν;2
τραβούσαν;12
φωνακλάς;1
ροβολάς;1
φυγής;1
ανότερο;1
μπούκωσε;1
χύνεται;7
ζαρώνουν;1
αραδιασμένοι;1
τούσερναν;1
μισό;4
μισώ;1
πουρνό;2
χούγιαζε;1
μεϊντανιού;2
πεθερό;1
μπήγεται;1
ακόντιζαν;1
ξαγριεμένο;1
κούτελο;3
αλικοβάφει;1
συγυρίζω;1
χτυπήσουν;2
απόμειναν;4
συγνεφιασμένη;1
σουγλισμένος;1
ψέφτορκα;3
χεριών;1
πετροβράχα;1
βοήθεια;1
γοφό;1
κάπιονε;1
αμαξιών;1
λεφκά;1
γιους;39
ξεζέβουν;3
κατάγναντά;1
δυοσέας;1
ορκιστήρια;3
κατάγναντα;1
πάθαιναν;1
λοιπούς;14
σπαρτά;3
λόγιασε;1
κλινάρι;2
μονές;1
άρπαε;1
αλάφρωσε;1
λεφκή;1
σώστρα;2
λεφκό;2
ελικά;1
τάζει;4
άρπαξ;1
αστράφτει;3
ζιάζει;2
βρισές;5
άναψαν;3
γούβες;1
αλάφρωση;2
γιαλιστά;1
πολυτάραχου;3
αφίνουμε;1
καλόπιανέ;1
κάρωσα;1
έδιναν;2
αξιού;1
αντιστέκω;1
χοιμούν;2
καμαρωτός;4
σταματούσε;3
λέσβος;2
αντέχουν;2
ρημαχτή;1
λυγερής;1
δόλοπας;2
ρωτάτε;1
σφαγμένους;1
έφτασα;3
ίδια;10
έφτασε;18
θήβα;9
σαρώνουν;1
αψηλό;13
γένος;2
γιδοτύρι;1
10;23
12;1
αχτύφλωσες;1
μαλάκα;1
δρολάπι;2
15;23
βοηθούσε;1
18;1
χαμόγελο;2
19;1
σκουντούσε;1
σφουγγάρια;1
κλείνει;1
ισόθεε;1
ορέγεσαι;2
κράτα;3
πρόβαλε;12
20;21
22;1
24;2
25;20
γίγαντα;1
27;2
ισόθεο;3
29;1
μαθαίνει;1
λαθόα;2
βοηθό;4
ταγή;6
σιμόης;1
βαστάει;12
μύθους;1
ματωμένο;4
νυκοκυραίων;1
πλακώσει;1
αλόγου;2
απολάψει;1
30;21
31;1
παράγγελνέ;1
αίσπου;1
35;22
κολώνει;1
βρισιά;1
πιδέξια;1
38;1
39;1
σεβάστηκε;1
χούγιαξε;9
many;1
σωρεφτοί;3
ίδιο;14
τρακάρουν;1
μπορεί;11
πίσημος;1
αψηλή;4
αψηλά;17
40;20
41;2
πρωταρχινάει;1
43;1
44;1
45;21
περίφα;3
46;1
αδιάφορο;1
49;2
numbers;2
κοπιάσει;2
δρυμού;1
ηλιώτες;2
τίναζα;1
φούντωνε;1
τίναζε;1
περικεφαλαία;1
ακοντιστάδες;2
50;22
52;1
νάμουνα;2
53;1
55;22
βάρβαρα;1
ακουρμαστούν;1
58;1
μοιρολογώντας;1
ματωμένα;5
ζυγώσουν;2
βάρβαρη;3
γιούχα;1
γέννα;3
ανέβηκε;20
πάστρεβαν;1
60;22
63;1
64;1
65;19
ασώπαστου;2
66;1
67;2
68;1
σμίγει;1
ορίζουνε;1
νογάει;1
θάμνο;1
σπάραζαν;2
σπαρταριστά;1
αθρώπων;9
διακόσους;1
κάτσουμε;3
θεοκάμωτος;2
70;20
72;2
73;1
74;1
75;20
βαρέθηκε;1
77;1
ξάπλωσαν;1
αβλοπόρτι;1
ανατριχιά;1
άμαξα;12
κοιμούνταν;5
πλήθηνε;1
δασωμένα;1
80;21
διαλύνω;2
φτέρωσε;2
82;1
83;1
κοιμούνται;2
84;2
85;19
σκυμένο;1
87;1
ξυπνάω;1
αλόγων;6
ξεφωνίζει;1
πλακώσουν;3
τιμές;1
απόλλου;13
θάβλεπες;2
απόλλος;12
περβόλια;2
90;19
91;2
πρόβατο;1
92;1
93;1
95;20
γδέρνουνε;1
μούταξε;5
97;1
γένια;1
ολημέρα;1
πρόβατα;13
γιατρό;1
δίνει;33
λατρεφτός;1
χωθεί;2
χρυσώνοντας;1
βασιλόπουλα;1
παραγγέλνω;2
γέρικο;4
μούσκεβαν;1
θερίζοντας;2
χόλιασε;3
βαστάνε;1
φράζανε;1
δαίτορα;1
κακονυχτάν;1
κάθεστε;2
απλώνοντας;4
μισείς;1
ρωτά;1
διαλεχτά;2
λούζεται;3
πετάχτηκαν;1
γένει;1
δρόμιζαν;3
άτσαλα;1
βαστάμε;1
τόβρε;1
πλημμυρούν;2
εφτά;15
κατεχούσαν;1
βάρεσε;15
ίδας;20
σκαρτάδα;1
μικροσταίνεται;1
αποκότησε;1
σκαρτάδο;1
διαλεχτό;1
μαρτύρια;4
μήνυμα;1
χόλιασα;1
αργαλιό;3
λίγες;1
πλούτονας;1
τολούπες;1
αθρώπου;6
ξεσκλίδι;1
αθρώποι;7
διόσπαρτη;1
θέτη;34
θέτε;7
αργαστήρι;1
τίναξα;1
λαιμά;3
τίναξε;16
χορούς;1
καθίζουν;8
χαλνάς;1
οξά;8
δικές;3
νυχτιά;4
τραβάει;16
αντροσκιάχτης;1
φελέσει;1
τρώικα;2
κρέας;1
δίγνωμοι;1
σημάδια;16
καλόφωνων;1
απαλόφαντα;1
θέση;3
μαρτύροι;5
σπάζεστε;1
λαιμό;15
ποδίζω;1
αντίλαμπο;1
κατέχεις;2
καμποβούνι;3
ατρόμητους;1
περκεφαλαία;2
καφκιά;1
ρωτάει;2
κερδίσουμε;1
πρωτόχνουδο;1
αμαξιού;2
λογιών;1
προθυμιά;11
ζωστείτε;1
φούντωσε;1
κουβεντιάζεις;1
γυρμένα;1
χρυσοπλίστηκε;1
ακαρτερεί;1
πουλί;7
καταθλιμένος;1
σύρτες;3
ασωπό;1
κισσέα;1
γυρμένο;1
γύρναε;6
λακκιές;1
παντοκράτη;1
στρώσ;1
χόρτο;4
σκούφωναν;1
ήσκιο;1
βαρώντας;9
βόλεψαν;1
μούτανε;1
διαβαίνω;1
γνωρίζει;3
ορέ;6
χτυπησές;1
κονταριού;2
στήνουν;1
γεράκι;2
μαργιόλε;1
ποτίσουν;1
πλακώσω;1
near;1
γλήγορη;5
λυσσασμένης;1
λαγκαδόθρεφτο;1
γλήγορα;52
γλήγορο;6
