1;1
2;1
3;1
4;1
5;1
arcu;7
a;10
malesuada;2
egestas;8
mattis;9
tortor;5
per;6
vehicula;9
quam;3
porttitor;5
erat;16
tellus;8
massa;2
pretium;6
consectetur;2
leo;3
taciti;3
laoreet;6
interdum;2
ultricies;6
aliquam;19
praesent;2
quis;20
etiam;7
varius;8
lacus;3
blandit;8
libero;9
dolor;7
condimentum;9
ante;14
placerat;6
eros;9
tristique;8
mauris;16
enim;3
ligula;10
facilisi;3
lacinia;7
fringilla;24
purus;6
conubia;3
dictum;3
himenaeos;3
maximus;3
molestie;5
sodales;2
turpis;3
integer;2
nunc;16
vivamus;5
lectus;9
aliquet;3
dui;10
accumsan;2
dignissim;6
vitae;23
tempus;2
risus;2
maecenas;14
mollis;5
velit;14
congue;8
iaculis;10
inceptos;3
vel;18
sollicitudin;4
command;1
pellentesque;18
auctor;8
sagittis;6
donec;3
fermentum;13
2147483647unknown;1
cras;13
curabitur;2
eget;11
aenean;3
urna;3
convallis;4
vestibulum;12
duis;6
nisi;2
morbi;10
nisl;11
tincidunt;6
adipiscing;2
est;17
odio;4
nec;10
scelerisque;8
nullam;7
posuere;9
faucibus;2
viverra;9
efficitur;15
commodo;10
imperdiet;11
non;11
embed;1
semper;10
aptent;3
metus;3
diam;2
cursus;8
eleifend;7
volutpat;7
ac;20
ad;3
at;8
elit;4
sed;11
sem;2
pulvinar;18
ornare;6
magna;7
vulputate;11
et;17
eu;5
ex;5
felis;4
class;3
sit;23
id;21
in;24
sociosqu;3
luctus;6
fusce;4
ullamcorper;5
facilisis;6
mi;14
orci;8
venenatis;6
amet;23
nulla;12
lorem;21
ipsum;19
dapibus;2
sapien;6
suscipit;2
euismod;7
ut;37
litora;3
libreofficechartdocument1;1
suspendisse;3
justo;20
torquent;3
nostra;3
neque;17
lobortis;11
