,episode_id,number,timestamp_in_ms,raw_character_text,raw_location_text,spoken_words
122859,474,2,103000,Groundskeeper Willie,Springfield Elementary School,We're down to our final four huckers -- three wily fourth graders and one scrappy fifth gradesman.
122860,474,3,111000,Groundskeeper Willie,Springfield Elementary School,To the death!
122862,474,5,154000,Nelson Muntz,Springfield Elementary School,Haw!
122863,474,6,155000,Nelson Muntz,Springfield Elementary School,Haw?
122864,474,7,156000,Erik,Springfield Elementary School,Where do you want your ball mark? Face or belly?
122865,474,8,159000,Bart Simpson,Springfield Elementary School,How about... in your dreams!
122868,474,11,177000,Edna Krabappel-Flanders,Springfield Elementary School,I'm not the coach. There is no coach.
122869,474,12,180000,Nelson Muntz,Springfield Elementary School,I just wanted to see if you were wearing a bra.
122870,474,13,183000,Edna Krabappel-Flanders,Springfield Elementary School,Oh.
122871,474,14,183000,Lisa Simpson,Springfield Elementary School,"Your four eyes saw a lot today, Milhouse. What's the skinny?"
122872,474,15,190000,Milhouse Van Houten,Springfield Elementary School,"The fifth graders played a great game. They got a great program up there, great fans, but this was just our day. Whatever happens, they can never take away--"
122874,474,17,199000,Erik,Springfield Elementary School,The ball never touched the ground -- and I caught it!
122875,474,18,203000,Groundskeeper Willie,Springfield Elementary School,That means... fifth graders win!
122876,474,19,205000,4th Graders,Springfield Elementary School,No way! / What a rip! / Mannn!
122877,474,20,207000,Groundskeeper Willie,Springfield Elementary School,Shut your gobs! I only took this refereeing job 'cause I was cold and needed a shirt!
122879,474,22,226000,Nelson Muntz,Springfield Elementary School,I hate you fifth graders!
122880,474,23,228000,Martin Prince,Springfield Elementary School,I deem this victory Pyrrhic.
122881,474,24,230000,4th Graders,Springfield Elementary School,Pyr-rhic! Pyr-rhic!
122882,474,25,232000,Erik,Springfield Elementary School,Your response is puerile.
122883,474,26,235000,5th Graders,Springfield Elementary School,Puerile! Puerile!
122885,474,28,237000,Bart's Class,Art Classroom,THERE GOES THE FIFTH GRADE / FLOATIN' DOWN THE DELAWARE / CHEWIN' ON THEIR UNDERWEAR / CAN'T AFFORD ANOTHER PAIR / TEN DAYS LATER / BITTEN BY A POLAR BEAR / THAT'S HOW THE POLAR BEAR DIED!
122886,474,29,253000,Erik,Art Classroom,"How dare they dishonor the lyrics of ""Old Grey Mare!"" How dare they!"
122888,474,31,260000,Erik,5th Grade Classroom,Zach! Zach! Who did this to you?
122889,474,32,264000,Zach,5th Grade Classroom,It was... it was... the fourth graders!
122891,474,34,276000,Mr. Benzie,Teachers' Lounge,"I like to think my kids would know how to lose gracefully. In the fifth grade, we teach character."
122892,474,35,281000,Edna Krabappel-Flanders,Teachers' Lounge,"Mike, let's be adults here."
122893,474,36,283000,Mr. Benzie,Teachers' Lounge,"You're right, Edna. Fourth sucks!"
122894,474,37,284000,Edna Krabappel-Flanders,Teachers' Lounge,"Oh, that's it!"
