,episode_id,number,timestamp_in_ms,raw_character_text,raw_location_text,spoken_words
1697,38,1,89000,Ned Flanders,Simpson Home,"Why Homer, you silly goose! The weed whacker's just for the edges! You're gonna be out here all day!"
1698,38,2,94000,Homer Simpson,Simpson Home,I'm almost done.
1699,38,3,95000,Ned Flanders,Simpson Home,"You are a picture and a half! Well -- hee hee! -- if you're finished by tomorrow, come on over and strap on the feed bag. We're gonna fire up old Propane Elaine and put the heat to the meat! Nummy nummy num!"
1700,38,4,105000,Homer Simpson,Simpson Home,I'll be there. Not-y not-y not.
1701,38,5,107000,Lisa Simpson,Simpson Home,"""The Flanders are having a beef-a-thon! Incredible Ned-ibles! Maude-acious vittles!""."
1703,38,6,110000,Marge Simpson,Simpson Home,I think it means he's having a barbecue.
1704,38,7,115000,Homer Simpson,Simpson Home,"Well, why doesn't he just say so?"
1705,38,8,117000,Marge Simpson,Simpson Home,"He's trying to be friendly. You know, if you gave Ned Flanders a chance --"
1706,38,9,120000,Homer Simpson,Simpson Home,"Oh, here we go again. Look, I don't care if Ned Flanders is the nicest guy in the world, he's a jerk. End of story."
1707,38,10,126000,Marge Simpson,Simpson Home,"We can't hold it against him, just because he has things a little better than we do --"
1708,38,11,131000,Homer Simpson,Simpson Home,"Excuse me? Better? Thanks a lot, Marge, you really put me in my place."
1709,38,12,135000,Marge Simpson,Simpson Home,"Oh, Homer."
1710,38,13,137000,Homer Simpson,Simpson Home,"Don't get me wrong, it's worth feeling three inches tall to find out what kind of a person you really are. Marge Simpson... President of the International We Love Flanders Fan Club..."
1713,38,16,147000,Ned Flanders,Flanders Home,Fee fi fo fum! I smell the potatoes au gratin of Marge Simp-son! Mmmm- mmm!
1714,38,17,154000,Marge Simpson,Flanders Home,"Hi, Ned. Homer sends his apologies, but uh... there was some important work at the plant that only he could take care of."
1716,38,19,163000,Announcer,Simpson Home,We now return you to the exciting fifteenth round action at the Canadian Football League draft.
1717,38,20,166000,Sportscaster #1,Simpson Home,"And so the Saskatchewan Rough Riders, who scored only four rouges all last season, Jack, get the kicker they so sorely need..."
1718,38,21,171000,Homer Simpson,Simpson Home,"Stupid Flanders... always showing off. Go ahead, Marge, have a ball... What if they game back and I was dead from not eating? They'd cry their eyes out. We should have never gone to the Flanders'. Oh, why did we go to the Flanders' house and leave Homer all alone with no food. And I'd be laughing. Laughing from my grave."
1719,38,22,199000,Homer Simpson,Simpson Home,"What is it, boy? What? Mmmmmmmm... bar-b-que."
1720,38,23,221000,Homer Simpson,Simpson Home,"Hey, everyone, I'm back! Great to see ya! Nice seein' ya!"
1721,38,24,223000,Ned Flanders,Simpson Home,"Heya, Homer!"
1722,38,25,229000,Ned Flanders,Simpson Home,"Okay, thanks for comin'!"
1724,38,27,230000,Bart Simpson,FLANDERS' YARD,"You're ""it""!"
1725,38,28,231000,Girl,FLANDERS' YARD,Electricity!
1726,38,29,232000,Bart Simpson,FLANDERS' YARD,No electricity. Electricity only in freeze tag.
1727,38,30,235000,Girl,FLANDERS' YARD,"Okay... Now you're ""it""!"
1729,38,31,237000,Homer Simpson,FLANDERS' YARD,"Hey, no tagbacks."
1730,38,32,238000,Bart Simpson,FLANDERS' YARD,"Yeah, you cheater!"
1731,38,33,239000,Girl,FLANDERS' YARD,You lie like a fly with a booger in its eye.
1732,38,34,241000,Homer Simpson,FLANDERS' YARD,The fly was funny and a booger was the icing on the cake...
