,episode_id,number,timestamp_in_ms,raw_character_text,raw_location_text,spoken_words
68221,271,2,84000,Homer Simpson,Simpson Car,"WON'T YOU MARRY ME, BI-ILL? / I GOT THE WEDDING GOWN BI-ILL / 'CAUSE WEDDINGS ARE NI-ICE..."
68222,271,3,92000,Bart Simpson,Simpson Car,Let's never miss the school bus again.
68223,271,4,95000,Marty,Simpson Car,"That was the Fifth Dimension, with ""Weddings Are Nice""."
68225,271,6,95000,Bill,KBBL,"You know what else is nice, Marty?"
68226,271,7,100000,Marty,KBBL,"What's that, Bill?"
68227,271,8,101000,Bill,KBBL,The KBBL Prize Posse!
68228,271,9,103000,CAMPY 40'S MOVIE DETECTIVE,KBBL,Damn dirty ape!
68229,271,10,105000,Marty,KBBL,"Oh-ho-ho. If our Wampum Wagon spots your KBBL Party Penguin, you'll win forty dollars!"
68230,271,11,113000,Homer Simpson,KBBL,"Didja hear that, Pengy? Forty dollars!"
68231,271,12,116000,Milhouse Van Houten,KBBL,"Hey, there's the Wampum Wagon!"
68232,271,13,120000,Homer Simpson,KBBL,"End of the line, boys."
68233,271,14,124000,Professor Jonathan Frink,KBBL,Look out because of...
68234,271,15,127000,Milhouse Van Houten,KBBL,"If we're late for school, we'll miss our free federal breakfast!"
68235,271,16,131000,Bart Simpson,KBBL,Big deal. It's just saltines and fig paste.
68236,271,17,133000,Milhouse Van Houten,KBBL,"Ew, saltines."
68239,271,20,143000,Chief Wiggum,DONUT SHOP,"Hey, Cora. I heard science is working on a donut that actually burns off calories. Uh, how's that goin'?"
68240,271,21,151000,Cora,DONUT SHOP,What?
68241,271,22,152000,Chief Wiggum,DONUT SHOP,"Ah, never mind. Just refill this with jelly, will ya?"
68242,271,23,158000,Chief Wiggum,DONUT SHOP,Thanks. You're an angel.
68243,271,24,159000,Cora,DONUT SHOP,What?
68245,271,26,160000,Bart Simpson,Street,"Hey, check it out. Wiggum's cruiser."
68246,271,27,164000,Bart Simpson,Street,"Wow, tear gas, riot club, police hat..."
68247,271,28,168000,Milhouse Van Houten,Street,...with rain baggie!
68248,271,29,170000,Bart Simpson,Street,"Ah, man, that would really keep your head dry."
68249,271,30,173000,Milhouse Van Houten,Street,Have you ever been in a police car?
